event_date,country,latitude,longitude,airport_code,aircraft_category,registration_number,make,model,amateur_built,number_of_engines,engine_type,purpose_of_flight,weather_condition,aircraft_damage
7/28/2009,United States,36.769723,-88.584722,M25,Airplane,N1008R,MOONEY,M20S,FALSE,1,Reciprocating,Personal,VMC,Substantial
7/28/2009,United States,42.114167,-87.901389,PWK,Airplane,N4648A,CESSNA,P210N,FALSE,1,Reciprocating,Personal,VMC,Substantial
7/25/2009,United States,38.655556,-77.787222,7VG0,Airplane,N20930,Dart,GW,FALSE,1,Reciprocating,Personal,VMC,Substantial
7/25/2009,United States,43.985,-88.561667,OSH,Airplane,N56SP,PILGRIM SAMUEL W JR,RV-6,TRUE,1,Reciprocating,Personal,VMC,Substantial
7/25/2009,United States,33.840833,-101.757778,F83,Airplane,N11EN,MAULE,M-4-220C,FALSE,1,Reciprocating,Personal,VMC,Substantial
7/23/2009,United States,48.840833,-117.283889,09S,Airplane,N2903A,PIPER,PA-28-181,FALSE,1,Reciprocating,Personal,VMC,Substantial
7/22/2009,United States,46.094722,-118.288889,ALW,Airplane,N7504Y,PIPER,PA-30,FALSE,2,Reciprocating,Instructional,VMC,Substantial
11/23/2008,United States,28.062778,-81.753056,GIF,Airplane,N4396W,BEECH,V35,FALSE,1,Reciprocating,Personal,VMC,Substantial
7/13/2009,United States,42.469723,-71.288889,BED,Helicopter,N211SH,ROBINSON HELICOPTER,R22 BETA,FALSE,1,Reciprocating,Instructional,VMC,Substantial
7/12/2009,United States,40.016389,-105.046111,KEIK,Airplane,N408RA,REMOS AIRCRAFT GMBH,REMOS G-3/,FALSE,1,Reciprocating,Instructional,VMC,Substantial
7/11/2009,United States,48.088889,-122.923611,2WA1,Airplane,N370LR,MID-SOUTH CUSTOM CRAFT INC,SH-2R,TRUE,1,Reciprocating,Personal,VMC,Substantial
7/10/2009,United States,40.717778,-114.025278,ENV,Airplane,N202CL,CHRISTOPHER,VANS RV-4,TRUE,1,Reciprocating,Personal,VMC,Substantial
7/8/2009,United States,38.662222,-90.651944,SUS,Airplane,N20VV,LEWIS KEITH O,VIGGENITE,TRUE,1,Reciprocating,Personal,VMC,Substantial
